ResidentDate,Total_Admissions,ResidentDate_year,ResidentDate_month,ResidentDate_day,ResidentDate_weekday,is_weekend,season,temperature_max,temperature_min,temp_range,precipitation,is_rain,Festival,pandemic_flag,disaster_flag,Total_Admissions_Lag1,Total_Admissions_Lag7,Total_Admissions_MA7,Total_Admissions_MA14,Total_Admissions_EMA,Total_Admissions_Rolling_Std,Total_Admissions_Rolling_Min,Total_Admissions_Rolling_Max
2021-06-30,40,2021,6,30,2,0,3,33.4,27.3,6.099999999999998,109.19999999999999,1,0,0,0,46.0,58.0,37.57142857142857,39.0,39.483061292326454,9.623879031817088,20.0,46.0
2021-07-01,43,2021,7,1,3,0,3,33.0,26.5,6.5,291.6,1,0,0,0,40.0,30.0,39.42857142857143,38.642857142857146,40.36229596924484,9.162553189607213,20.0,46.0
2021-07-02,42,2021,7,2,4,0,3,32.8,25.9,6.899999999999999,1445.7,1,0,0,0,43.0,44.0,39.142857142857146,38.857142857142854,40.771721976933634,9.02641625874804,20.0,46.0
2021-07-03,47,2021,7,3,5,1,3,32.5,25.6,6.899999999999999,154.7,1,0,0,0,42.0,37.0,40.57142857142857,39.5,42.328791482700225,9.41376904428017,20.0,47.0
2021-07-04,40,2021,7,4,6,1,3,32.9,26.4,6.5,856.0,1,1,0,0,47.0,20.0,43.42857142857143,39.642857142857146,41.746593612025165,2.9358214555804567,40.0,47.0
2021-07-05,48,2021,7,5,0,0,3,33.9,25.6,8.299999999999997,228.8,1,0,0,0,40.0,46.0,43.714285714285715,41.07142857142857,43.30994520901888,3.3022358947780726,40.0,48.0
2021-07-06,38,2021,7,6,1,0,3,32.9,26.2,6.699999999999999,721.5999999999999,1,0,0,0,48.0,46.0,42.57142857142857,41.357142857142854,41.98245890676416,3.7352886036262554,38.0,48.0
2021-07-07,56,2021,7,7,2,0,3,32.7,26.4,6.300000000000004,722.0,1,0,0,0,38.0,40.0,44.857142857142854,41.214285714285715,45.48684418007312,6.067085281213893,38.0,56.0
2021-07-08,52,2021,7,8,3,0,3,33.3,27.4,5.899999999999999,354.9,1,0,0,0,56.0,43.0,46.142857142857146,42.785714285714285,47.11513313505484,6.542898731412693,38.0,56.0
2021-07-09,68,2021,7,9,4,0,3,33.7,25.1,8.600000000000001,494.90000000000003,1,0,0,0,52.0,42.0,49.857142857142854,44.5,52.33634985129113,10.172324733126999,38.0,68.0
